13:26:53.6091 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 32 latency best_fit
13:26:53.6092 [INFO] uart5: [virt: 14.84s (+14.4ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 32 latency best_fit
13:26:53.6102 [INFO] uart5: [output] Begin synthetic workload!
13:26:53.9459 [INFO] uart5: [virt:  14.88s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 153776, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 38384, 'obj-in-use': 26, 'instruction count': 1748, 'allocation': false}
13:26:53.9538 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 153792, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 38400, 'obj-in-use': 27, 'instruction count': 5220, 'allocation': true}
13:26:53.9539 [INFO] uart5: [virt:  14.88s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 153792, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 38400, 'obj-in-use': 27, 'instruction count': 5220, 'allocation': true}
13:26:53.9630 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 154304, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 38912, 'obj-in-use': 28, 'instruction count': 4745, 'allocation': true}
13:26:53.9632 [INFO] uart5: [virt:  14.88s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 154304, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 38912, 'obj-in-use': 28, 'instruction count': 4745, 'allocation': true}
13:26:53.9690 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 154336, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 38944, 'obj-in-use': 29, 'instruction count': 4579, 'allocation': true}
13:26:53.9691 [INFO] uart5: [virt:  14.89s (+0.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 154336, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 38944, 'obj-in-use': 29, 'instruction count': 4579, 'allocation': true}
13:26:53.9789 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 154352, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 38960, 'obj-in-use': 30, 'instruction count': 5318, 'allocation': true}
13:26:53.9790 [INFO] uart5: [virt:  14.89s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 154352, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 38960, 'obj-in-use': 30, 'instruction count': 5318, 'allocation': true}
13:26:53.9930 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 158448, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 43056, 'obj-in-use': 31, 'instruction count': 11604, 'allocation': true}
