13:34:45.2297 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 16 profile next_fit
13:34:45.2298 [INFO] uart5: [virt: 20.17s (+17.2ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 16 profile next_fit
13:34:45.2308 [INFO] uart5: [output] Begin synthetic workload!
13:34:45.7074 [INFO] uart5: [output] {'bytes in-use': 71120, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2652464, 'bytes requested': 99840, 'lhs fragmentation': 12336, 'in-between fragmentation': 15024, 'objs in-use': 36}
13:34:45.7076 [INFO] uart5: [virt:  20.24s (+1.6ms)] {'bytes in-use': 71120, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2652464, 'bytes requested': 99840, 'lhs fragmentation': 12336, 'in-between fragmentation': 15024, 'objs in-use': 36}
13:34:45.7223 [INFO] uart5: [output] {'bytes in-use': 71152, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2652432, 'bytes requested': 99872, 'lhs fragmentation': 12336, 'in-between fragmentation': 15040, 'objs in-use': 37}
13:34:45.7224 [INFO] uart5: [virt:  20.25s (+1.5ms)] {'bytes in-use': 71152, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2652432, 'bytes requested': 99872, 'lhs fragmentation': 12336, 'in-between fragmentation': 15040, 'objs in-use': 37}
13:34:45.7359 [INFO] uart5: [output] {'bytes in-use': 79344, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2644240, 'bytes requested': 108064, 'lhs fragmentation': 12336, 'in-between fragmentation': 23008, 'objs in-use': 38}
13:34:45.7360 [INFO] uart5: [virt:  20.25s (+1.6ms)] {'bytes in-use': 79344, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2644240, 'bytes requested': 108064, 'lhs fragmentation': 12336, 'in-between fragmentation': 23008, 'objs in-use': 38}
13:34:45.7503 [INFO] uart5: [output] {'bytes in-use': 80368, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2643216, 'bytes requested': 109088, 'lhs fragmentation': 12336, 'in-between fragmentation': 23008, 'objs in-use': 39}
13:34:45.7504 [INFO] uart5: [virt:  20.25s (+1.5ms)] {'bytes in-use': 80368, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2643216, 'bytes requested': 109088, 'lhs fragmentation': 12336, 'in-between fragmentation': 23008, 'objs in-use': 39}
13:34:45.7694 [INFO] uart5: [output] {'bytes in-use': 84464, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2639120, 'bytes requested': 113184, 'lhs fragmentation': 12336, 'in-between fragmentation': 26080, 'objs in-use': 40}
13:34:45.7695 [INFO] uart5: [virt:  20.25s (+1.6ms)] {'bytes in-use': 84464, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2639120, 'bytes requested': 113184, 'lhs fragmentation': 12336, 'in-between fragmentation': 26080, 'objs in-use': 40}
13:34:45.7883 [INFO] uart5: [output] {'bytes in-use': 84976, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2638608, 'bytes requested': 113696, 'lhs fragmentation': 12336, 'in-between fragmentation': 26080, 'objs in-use': 41}
13:34:45.7884 [INFO] uart5: [virt:  20.25s (+1.5ms)] {'bytes in-use': 84976, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2638608, 'bytes requested': 113696, 'lhs fragmentation': 12336, 'in-between fragmentation': 26080, 'objs in-use': 41}
13:34:45.8068 [INFO] uart5: [output] {'bytes in-use': 85008, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2638576, 'bytes requested': 113728, 'lhs fragmentation': 12336, 'in-between fragmentation': 26080, 'objs in-use': 42}
13:34:45.8069 [INFO] uart5: [virt:  20.25s (+1.5ms)] {'bytes in-use': 85008, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2638576, 'bytes requested': 113728, 'lhs fragmentation': 12336, 'in-between fragmentation': 26080, 'objs in-use': 42}
13:34:45.8257 [INFO] uart5: [output] {'bytes in-use': 85024, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2638560, 'bytes requested': 113744, 'lhs fragmentation': 12336, 'in-between fragmentation': 26080, 'objs in-use': 43}
13:34:45.8258 [INFO] uart5: [virt:  20.26s (+1.6ms)] {'bytes in-use': 85024, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2638560, 'bytes requested': 113744, 'lhs fragmentation': 12336, 'in-between fragmentation': 26080, 'objs in-use': 43}
13:34:45.8464 [INFO] uart5: [output] {'bytes in-use': 89120, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2634464, 'bytes requested': 117840, 'lhs fragmentation': 12336, 'in-between fragmentation': 29616, 'objs in-use': 44}
13:34:45.8466 [INFO] uart5: [virt:  20.26s (+1.5ms)] {'bytes in-use': 89120, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2634464, 'bytes requested': 117840, 'lhs fragmentation': 12336, 'in-between fragmentation': 29616, 'objs in-use': 44}
13:34:45.8658 [INFO] uart5: [output] {'bytes in-use': 89152, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2634432, 'bytes requested': 117872, 'lhs fragmentation': 12336, 'in-between fragmentation': 29616, 'objs in-use': 45}
13:34:45.8660 [INFO] uart5: [virt:  20.26s (+1.6ms)] {'bytes in-use': 89152, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2634432, 'bytes requested': 117872, 'lhs fragmentation': 12336, 'in-between fragmentation': 29616, 'objs in-use': 45}
13:34:45.8832 [INFO] uart5: [output] {'bytes in-use': 89664, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2633920, 'bytes requested': 118384, 'lhs fragmentation': 12336, 'in-between fragmentation': 30096, 'objs in-use': 46}
13:34:45.8833 [INFO] uart5: [virt:  20.26s (+1.5ms)] {'bytes in-use': 89664, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2633920, 'bytes requested': 118384, 'lhs fragmentation': 12336, 'in-between fragmentation': 30096, 'objs in-use': 46}
13:34:45.9017 [INFO] uart5: [output] {'bytes in-use': 93760, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2629824, 'bytes requested': 122480, 'lhs fragmentation': 12336, 'in-between fragmentation': 33168, 'objs in-use': 47}
13:34:45.9018 [INFO] uart5: [virt:  20.26s (+1.6ms)] {'bytes in-use': 93760, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2629824, 'bytes requested': 122480, 'lhs fragmentation': 12336, 'in-between fragmentation': 33168, 'objs in-use': 47}
13:34:45.9258 [INFO] uart5: [output] {'bytes in-use': 134720, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2588864, 'bytes requested': 163440, 'lhs fragmentation': 12336, 'in-between fragmentation': 33168, 'objs in-use': 57}
13:34:45.9258 [INFO] uart5: [virt: 20.27s (+11.6ms)] {'bytes in-use': 134720, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2588864, 'bytes requested': 163440, 'lhs fragmentation': 12336, 'in-between fragmentation': 33168, 'objs in-use': 57}
