10:59:00.9065 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 32 profile next_fit
10:59:00.9065 [INFO] uart5: [virt:    17.3s (+16ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 32 profile next_fit
10:59:00.9076 [INFO] uart5: [output] Begin synthetic workload!
10:59:00.9077 [INFO] uart5: [virt:   17.3s (+0.1ms)] Begin synthetic workload!
10:59:01.4224 [INFO] uart5: [output] {'bytes in-use': 88624, 'bytes free': 2634960, 'bytes requested': 204048, 'lhs fragmentation': 99040, 'in-between fragmentation': 25328, 'objs in-use': 42}
10:59:01.4224 [INFO] uart5: [virt:   17.4s (+1.2ms)] {'bytes in-use': 88624, 'bytes free': 2634960, 'bytes requested': 204048, 'lhs fragmentation': 99040, 'in-between fragmentation': 25328, 'objs in-use': 42}
10:59:01.4355 [INFO] uart5: [output] {'bytes in-use': 88640, 'bytes free': 2634944, 'bytes requested': 204064, 'lhs fragmentation': 99040, 'in-between fragmentation': 25328, 'objs in-use': 43}
10:59:01.4355 [INFO] uart5: [virt:   17.4s (+1.2ms)] {'bytes in-use': 88640, 'bytes free': 2634944, 'bytes requested': 204064, 'lhs fragmentation': 99040, 'in-between fragmentation': 25328, 'objs in-use': 43}
10:59:01.4429 [INFO] uart5: [output] {'bytes in-use': 88768, 'bytes free': 2634816, 'bytes requested': 204192, 'lhs fragmentation': 99040, 'in-between fragmentation': 25440, 'objs in-use': 44}
10:59:01.4430 [INFO] uart5: [virt:   17.4s (+1.3ms)] {'bytes in-use': 88768, 'bytes free': 2634816, 'bytes requested': 204192, 'lhs fragmentation': 99040, 'in-between fragmentation': 25440, 'objs in-use': 44}
10:59:01.4578 [INFO] uart5: [output] {'bytes in-use': 88784, 'bytes free': 2634800, 'bytes requested': 204208, 'lhs fragmentation': 99040, 'in-between fragmentation': 25440, 'objs in-use': 45}
10:59:01.4579 [INFO] uart5: [virt:   17.4s (+1.3ms)] {'bytes in-use': 88784, 'bytes free': 2634800, 'bytes requested': 204208, 'lhs fragmentation': 99040, 'in-between fragmentation': 25440, 'objs in-use': 45}
10:59:01.4694 [INFO] uart5: [output] {'bytes in-use': 87760, 'bytes free': 2635824, 'bytes requested': 204208, 'lhs fragmentation': 100064, 'in-between fragmentation': 25440, 'objs in-use': 44}
10:59:01.4728 [INFO] uart5: [virt:   17.4s (+1.2ms)] {'bytes in-use': 87760, 'bytes free': 2635824, 'bytes requested': 204208, 'lhs fragmentation': 100064, 'in-between fragmentation': 25440, 'objs in-use': 44}
10:59:01.4841 [INFO] uart5: [output] {'bytes in-use': 87776, 'bytes free': 2635808, 'bytes requested': 204224, 'lhs fragmentation': 100064, 'in-between fragmentation': 25440, 'objs in-use': 45}
10:59:01.4842 [INFO] uart5: [virt:   17.4s (+1.2ms)] {'bytes in-use': 87776, 'bytes free': 2635808, 'bytes requested': 204224, 'lhs fragmentation': 100064, 'in-between fragmentation': 25440, 'objs in-use': 45}
10:59:01.4960 [INFO] uart5: [output] {'bytes in-use': 87840, 'bytes free': 2635744, 'bytes requested': 204288, 'lhs fragmentation': 100064, 'in-between fragmentation': 25472, 'objs in-use': 46}
10:59:01.4961 [INFO] uart5: [virt:  17.41s (+1.3ms)] {'bytes in-use': 87840, 'bytes free': 2635744, 'bytes requested': 204288, 'lhs fragmentation': 100064, 'in-between fragmentation': 25472, 'objs in-use': 46}
10:59:01.5106 [INFO] uart5: [output] {'bytes in-use': 46880, 'bytes free': 2676704, 'bytes requested': 204288, 'lhs fragmentation': 141024, 'in-between fragmentation': 25472, 'objs in-use': 36}
10:59:01.5107 [INFO] uart5: [virt:  17.41s (+1.4ms)] {'bytes in-use': 46880, 'bytes free': 2676704, 'bytes requested': 204288, 'lhs fragmentation': 141024, 'in-between fragmentation': 25472, 'objs in-use': 36}
10:59:01.5201 [INFO] uart5: [output] {'bytes in-use': 46912, 'bytes free': 2676672, 'bytes requested': 204320, 'lhs fragmentation': 141024, 'in-between fragmentation': 25472, 'objs in-use': 37}
